date,vw_ret_d,vw_ret_x,ew_ret_d,ew_ret_x
12/28/16,-0.008145,-0.008319,-0.010167,-0.010421
12/29/16,-0.000246,-0.000295,0.000511,0.000389
12/30/16,-0.004634,-0.004682,-0.003753,-0.003791
1/3/17,0.008524,0.008494,0.008881,0.008873
1/4/17,0.006017,0.005796,0.010369,0.010284
1/5/17,-0.000701,-0.000715,-0.003025,-0.003033
1/6/17,0.003721,0.003425,0.002709,0.002595
1/9/17,-0.003469,-0.003475,-0.005722,-0.005733
1/10/17,-0.000013,-0.00002,0.001324,0.001317
1/11/17,0.002982,0.002894,0.003022,0.002929
1/12/17,-0.002043,-0.002066,-0.00184,-0.001862
1/13/17,0.001778,0.001778,0.001841,0.001841
1/17/17,-0.002746,-0.002746,-0.002091,-0.002091
1/18/17,0.001894,0.001726,0.0027,0.002614
1/19/17,-0.003551,-0.003569,-0.005031,-0.005046
1/20/17,0.003397,0.00337,0.003734,0.003722
1/23/17,-0.002582,-0.002611,-0.003049,-0.003082
1/24/17,0.00661,0.006609,0.009807,0.009805
1/25/17,0.007907,0.007903,0.007606,0.007587
1/26/17,-0.00068,-0.000699,-0.002678,-0.002732
1/27/17,-0.000971,-0.001027,-0.002615,-0.002662
1/30/17,-0.005914,-0.005962,-0.005953,-0.006082
1/31/17,-0.00082,-0.000826,0.000933,0.00092
2/1/17,0.000408,0.000183,-0.002388,-0.002495
2/2/17,0.000709,0.00065,0.001991,0.001939
2/3/17,0.007206,0.007119,0.007439,0.007365
2/6/17,-0.002143,-0.002147,-0.003001,-0.003012
2/7/17,0.000334,0.000291,-0.001496,-0.001552
2/8/17,0.001084,0.000767,0.002356,0.002211
2/9/17,0.005981,0.005806,0.00716,0.007072
2/10/17,0.003575,0.003515,0.005249,0.00517
2/13/17,0.005383,0.005132,0.004108,0.003857
2/14/17,0.004298,0.004022,0.003331,0.003193
2/15/17,0.005146,0.005001,0.004796,0.004626
2/16/17,-0.000909,-0.001009,-0.002596,-0.002737
2/17/17,0.002005,0.001984,0.002228,0.002209
2/21/17,0.006131,0.00613,0.00694,0.006931
2/22/17,-0.001011,-0.001103,-0.002797,-0.002938
2/23/17,0.000395,0.000281,-0.001733,-0.001782
2/24/17,0.001748,0.001517,0.002723,0.002557
2/27/17,0.00103,0.000886,0.001941,0.001777
2/28/17,-0.002684,-0.002715,-0.005014,-0.005074
3/1/17,0.013612,0.013418,0.012355,0.012148
3/2/17,-0.00567,-0.005755,-0.006481,-0.006584
3/3/17,0.000452,0.000424,-0.000483,-0.00053
3/6/17,-0.003245,-0.003265,-0.004568,-0.004619
3/7/17,-0.002858,-0.002922,-0.004815,-0.004851
3/8/17,-0.001883,-0.002221,-0.002579,-0.002908
3/9/17,0.000825,0.000814,-0.000796,-0.000817
3/10/17,0.003283,0.003264,0.003897,0.003825
3/13/17,0.000669,0.000341,0.001683,0.00123
3/14/17,-0.003223,-0.003267,-0.004421,-0.004458
3/15/17,0.008363,0.00833,0.0113,0.011219
3/16/17,-0.001362,-0.001398,-0.002216,-0.002271
3/17/17,-0.001342,-0.001347,-0.000167,-0.000173
3/20/17,-0.002016,-0.002045,-0.002945,-0.003011
3/21/17,-0.012262,-0.012348,-0.013512,-0.013549
3/22/17,0.001926,0.001893,0.002228,0.002181
3/23/17,-0.001041,-0.001053,0.000296,0.000271
3/24/17,-0.000811,-0.000811,-0.000352,-0.000352
3/27/17,-0.000943,-0.000943,-0.001043,-0.001043
3/28/17,0.007258,0.007247,0.008387,0.008375
3/29/17,0.001449,0.001246,0.003169,0.002877
3/30/17,0.002962,0.002928,0.002394,0.002333
3/31/17,-0.002145,-0.002147,-0.000875,-0.00088
4/3/17,-0.001601,-0.00165,-0.004064,-0.004131
4/4/17,0.000741,0.000585,-0.000977,-0.001009
4/5/17,-0.002921,-0.003023,-0.002944,-0.003032
4/6/17,0.002122,0.001836,0.005367,0.00525
4/7/17,-0.000729,-0.000732,-0.001106,-0.001113
4/10/17,0.000785,0.00072,0.002445,0.002404
4/11/17,-0.001251,-0.001392,-0.000023,-0.000153
4/12/17,-0.003692,-0.003706,-0.006096,-0.006112
4/13/17,-0.006767,-0.006771,-0.006908,-0.006918
4/17/17,0.008592,0.008587,0.008598,0.008586
4/18/17,-0.002756,-0.002784,-0.003049,-0.003075
4/19/17,-0.001583,-0.001716,0.000234,0.000175
4/20/17,0.007563,0.007542,0.008431,0.008415
4/21/17,-0.003016,-0.003016,-0.00353,-0.00353
4/24/17,0.010778,0.010759,0.010217,0.010194
4/25/17,0.005989,0.005989,0.005338,0.005338
4/26/17,-0.000463,-0.000476,0.000204,0.000147
